Designator,Mid X,Mid Y,Rotation,Layer
C1,-1.800195,66.090093,0.0,bottom
C2,-3.817625,66.097793,0.0,bottom
D1,-2.9775,73.3375,0.0,bottom
D10,46.434375,52.3875,80.0,bottom
D11,95.25,47.625,90.0,bottom
D12,-95.25,20.240625,90.0,bottom
D13,-50.00625,34.528125,100.0,bottom
D14,0.0,35.71875,90.0,bottom
D15,50.00625,34.528125,80.0,bottom
D16,95.25,20.240625,90.0,bottom
D17,-50.00625,19.05,100.0,bottom
D18,50.00625,19.05,80.0,bottom
D2,-95.25,72.628125,90.0,bottom
D3,-43.8125,71.4375,100.0,bottom
D4,0.0,55.959375,90.0,bottom
D5,44.053125,71.4375,80.0,bottom
D6,95.25,72.628125,90.0,bottom
D7,-95.25,47.625,90.0,bottom
D8,-46.434375,52.3875,100.0,bottom
D9,0.0,46.18125,90.0,bottom
F1,-3.571875,75.009375,90.0,bottom
J1,0.0,81.9625,180.0,bottom
MX1,-104.775,78.58125,270.0,bottom
MX10,104.775,78.58125,90.0,bottom
MX11,-104.775,52.3875,0.0,bottom
MX12,-83.34375,57.15,0.0,bottom
MX13,-56.759788,64.214205,10.0,bottom
MX14,-36.481126,55.80256,10.0,bottom
MX15,-17.720539,52.494562,10.0,bottom
MX16,13.100642,51.667563,350.0,bottom
MX17,36.551376,55.80256,350.0,bottom
MX18,56.830038,64.214205,350.0,bottom
MX19,83.34375,57.15,0.0,bottom
MX2,-85.725,80.9625,270.0,bottom
MX20,104.775,52.3875,0.0,bottom
MX21,-104.775,28.575,270.0,bottom
MX22,-58.136212,42.695044,280.0,bottom
MX23,-16.338389,32.906975,10.0,bottom
MX24,39.859374,37.041973,350.0,bottom
MX25,85.725,30.95625,90.0,bottom
MX26,104.775,28.575,90.0,bottom
MX27,-61.857709,21.589383,10.0,bottom
MX28,-31.371754,16.213886,10.0,bottom
MX29,26.751858,15.386887,350.0,bottom
MX3,-55.796864,83.388292,10.0,bottom
MX30,61.927959,21.589383,350.0,bottom
MX31,-85.725,30.95625,270.0,bottom
MX32,-39.789124,37.041973,10.0,bottom
MX33,18.753713,33.320475,350.0,bottom
MX34,58.206462,42.695044,80.0,bottom
MX4,-32.759629,76.908221,280.0,bottom
MX5,-13.999041,73.600224,280.0,bottom
MX6,14.069291,73.600224,80.0,bottom
MX7,32.829879,76.908221,80.0,bottom
MX8,55.867114,83.388292,350.0,bottom
MX9,85.725,80.9625,90.0,bottom
R1,-2.38125,75.009375,270.0,bottom
R2,2.38125,75.009375,270.0,bottom
R3,1.229455,66.0846,180.0,bottom
SW1,0.0,69.05625,0.0,bottom
U1,0.0,61.9125,270.0,bottom
U2,0.0,73.81875,270.0,bottom
